,Player,MP,Poss.,+/-,OffRtg,DefRtg,NetRtg
0,Ethan Feldman,18.8,45,9,91.1,80.0,11.1
0,Ross Udine,22.6,52,-5,75.0,89.8,-14.8
0,Cameron Moore,21.1,46,6,95.7,84.4,11.3
0,Bobby Hawkinson,22.3,45,-5,77.8,90.9,-13.1
0,Joseph Stinson,6.1,14,10,121.4,50.0,71.4
0,Jule Brown,25.4,52,-3,80.8,83.3,-2.5
0,Dom Cristiano,25.2,56,-5,85.7,96.4,-10.7
0,Ted Georgiadis,5.8,11,0,54.5,54.5,0.0
0,Douglas Gertner,22.6,46,7,102.2,83.3,18.9
0,Jimmy Martinelli,15.8,38,11,94.7,71.4,23.3
0,Team,37.1,81,5,87.7,83.5,4.2
