Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
2018,32,32,2017-12-20,@,DEN,W,112,104,119.2,110.7,94,0.218,0.276,0.587,46.8,65.1,12.8,4.5,,0.54,7.7,19,0.207,,0.59,20.3,78.4,0.264
2018,33,33,2017-12-23,@,PHO,W,115,106,119,109.7,96.6,0.345,0.19,0.594,56.6,42.9,6.2,11.1,,0.536,12.6,32.5,0.298,,0.529,11.9,79.1,0.174
2018,34,34,2017-12-25,@,LAL,W,121,104,125.3,107.7,96.5,0.167,0.381,0.671,53.2,61.2,9.3,6.5,,0.649,14.3,22.6,0.143,,0.489,10.6,72.9,0.152
2018,35,35,2017-12-27,,DEN,W,128,125,127.7,124.7,90.8,0.333,0.322,0.62,46.7,57.4,4,13.5,,0.589,5.5,15.9,0.244,,0.544,7.9,76.1,0.286
2018,36,36,2017-12-28,@,MIL,L,96,102,106.4,113,90.3,0.366,0.394,0.582,47.8,58.8,10,5,,0.542,16.3,17.1,0.268,,0.58,16.3,79.4,0.2
2018,37,37,2017-12-31,@,IND,W,107,90,118.8,99.9,90.1,0.291,0.221,0.552,50.6,48.8,12.2,13.3,,0.5,6.7,30.2,0.244,,0.447,14.7,70.5,0.165
2018,38,38,2018-01-01,,LAL,W,114,96,112.1,94.4,101.7,0.37,0.247,0.605,52.6,65,13.8,10,,0.537,15.3,20,0.333,,0.5,21.3,79.1,0.263
2018,39,39,2018-01-03,@,BRK,L,97,98,106.5,107.6,91.1,0.375,0.138,0.52,45.7,27.8,9.9,9.5,,0.456,7.9,17.1,0.3,,0.611,19.8,86.2,0.139
2018,40,40,2018-01-05,@,BOS,L,84,91,94,101.8,89.4,0.368,0.303,0.476,43.4,53.6,6.7,8.6,,0.414,12,18.8,0.276,,0.436,9.1,66.7,0.096
2018,41,41,2018-01-06,,NOP,W,116,98,122.9,103.8,94.4,0.233,0.2,0.584,55.3,59.1,10.6,10.2,,0.539,8.3,29.5,0.211,,0.462,14.2,82.9,0.333
2018,42,42,2018-01-08,,CLE,W,127,99,134.1,104.5,94.7,0.17,0.31,0.591,60.2,57.7,6.3,4.3,,0.57,4.4,34.1,0.13,,0.518,12.5,83.7,0.143
2018,43,43,2018-01-10,,OKC,W,104,88,109.9,93,94.6,0.338,0.25,0.566,52.3,56.4,11.6,9.1,,0.531,13.2,26.2,0.238,,0.438,16.6,77.3,0.225
2018,44,44,2018-01-12,,NYK,W,118,108,125.9,115.2,93.8,0.168,0.284,0.578,54.4,67.3,12.8,6.8,,0.568,10.5,37.2,0.105,,0.614,15.5,75,0.072
2018,45,45,2018-01-14,,POR,W,120,103,125.8,108,95.4,0.413,0.238,0.635,50,48.8,12.6,5.6,,0.581,10.4,18.9,0.338,,0.563,16.4,79.5,0.177
2018,46,46,2018-01-16,@,ORL,L,102,108,107.8,114.1,94.6,0.102,0.163,0.498,42,44.2,10.6,15.3,,0.474,6.4,23.4,0.092,,0.506,14,63.4,0.189
2018,47,47,2018-01-18,@,HOU,L,98,116,107.2,126.9,91.4,0.259,0.296,0.543,47.1,63.2,8.8,16.3,,0.519,10.9,19,0.173,,0.574,8.6,74.4,0.17
2018,48,48,2018-01-20,,TOR,W,115,109,123.3,116.8,93.3,0.519,0.198,0.578,55.7,55.3,4.3,6,,0.512,10,35.7,0.395,,0.542,12.4,78.4,0.229
2018,49,49,2018-01-22,@,LAC,W,126,118,124.5,116.6,101.2,0.429,0.242,0.582,54,46.5,4.9,7,,0.511,10.7,36,0.363,,0.613,15.4,78.4,0.179
2018,50,50,2018-01-24,@,POR,L,114,123,122.3,132,93.2,0.262,0.19,0.608,47.1,44.4,7.5,3.9,,0.571,6,13.9,0.214,,0.652,9.9,82.4,0.195
2018,51,51,2018-01-25,@,GSW,L,113,126,112.5,125.5,100.4,0.178,0.198,0.519,47.8,54.3,9,5.8,,0.485,8.4,26.5,0.149,,0.657,13.6,73.2,0.101
2018,52,52,2018-01-27,,BRK,W,111,97,121.1,105.8,91.7,0.271,0.219,0.517,53.3,47.6,9.8,13.5,,0.458,4.4,33.3,0.24,,0.518,14.5,75,0.146
2018,53,53,2018-01-29,@,ATL,L,100,105,103.9,109.1,96.2,0.217,0.229,0.55,44.3,61.5,15.6,11.1,,0.512,12.5,16.3,0.181,,0.576,19.6,77.8,0.177
2018,54,54,2018-01-30,@,TOR,L,104,109,115.5,121,90.1,0.282,0.141,0.544,50.6,50,4.4,3.8,,0.524,7.7,25,0.176,,0.537,8,76.9,0.272
2018,55,55,2018-02-01,,MIL,W,108,89,115.4,95.1,93.6,0.256,0.244,0.622,47.6,64.3,8.5,12.5,,0.583,13,12.5,0.218,,0.412,13.5,70,0.224
2018,56,56,2018-02-03,,NOP,W,118,107,117.7,106.7,100.2,0.168,0.221,0.578,49.5,43.8,9,4.4,,0.558,10.5,26.7,0.126,,0.455,10.7,67.9,0.149
2018,57,57,2018-02-07,@,CLE,L,138,140,131.7,133.6,94.9,0.129,0.355,0.702,46.1,61.1,6.7,8.5,,0.683,10.1,10.5,0.118,,0.71,13.3,81.6,0.17
2018,58,58,2018-02-09,@,CHI,L,113,114,113.3,114.3,99.8,0.322,0.253,0.569,54.1,46.3,8,7,,0.517,11.6,24.4,0.264,,0.548,10.3,87.5,0.277
2018,59,59,2018-02-11,,SAC,W,111,106,116.8,111.6,95,0.432,0.324,0.63,46.3,78.4,10.5,7.9,,0.561,15.4,22.2,0.378,,0.534,15.9,65.9,0.136
2018,60,60,2018-02-13,,HOU,L,108,126,119.8,139.8,90.1,0.274,0.274,0.574,51.9,55,3.3,11.1,,0.512,7.8,24.3,0.262,,0.627,5.9,77.5,0.265
