Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2018,25,25,2017-12-11,@,LAC,L,91,96,92.1,97.2,98.8,0.325,0.363,0.498,43,56.3,8.1,10.7,,0.444,12.4,6.5,0.25,,0.413,10.5,74.1,0.217,8,36,0.222,20,24,0.833,14,57,18,6,7,12,20
2018,26,26,2017-12-13,@,PHO,W,115,109,117.3,111.2,98.1,0.337,0.283,0.544,52.3,40,7.1,5.1,,0.484,5.4,20.5,0.283,,0.494,10.1,78.7,0.325,8,24,0.333,27,34,0.794,10,41,20,3,9,11,24
2018,27,27,2017-12-15,,BRK,W,120,87,123,89.2,97.5,0.093,0.289,0.594,54.9,48.1,11.3,9.4,,0.593,7.3,26.2,0.052,,0.467,20.7,85,0.211,7,23,0.304,16,19,0.842,6,37,16,4,1,22,14
2018,28,28,2017-12-17,,SAC,W,108,93,117.4,101.1,92,0.329,0.353,0.555,59,55.6,8.7,16.4,,0.5,11,31.6,0.271,,0.537,15.1,85,0.074,11,26,0.423,6,8,0.75,6,32,25,9,9,15,19
2018,29,29,2017-12-20,@,CHO,W,129,111,127.3,109.6,101.3,0.198,0.363,0.652,52.4,71.4,5.9,11.3,,0.626,12.4,24.4,0.165,,0.5,10.7,80.5,0.306,7,23,0.304,26,35,0.743,8,39,21,10,6,12,18
2018,30,30,2017-12-21,@,PHI,W,114,109,115.2,110.2,98.9,0.412,0.412,0.568,52.9,51.4,14.2,10.5,,0.482,17.3,41.3,0.376,,0.576,20,66.7,0.116,9,29,0.31,10,14,0.714,13,40,27,14,6,23,27
2018,31,31,2017-12-23,,PHI,W,102,86,99.5,83.9,102.5,0.306,0.318,0.529,51.2,51.4,14.6,11.3,,0.465,15,17.1,0.271,,0.456,19.9,83.7,0.163,7,27,0.259,13,20,0.65,7,41,19,10,7,22,24
2018,32,32,2017-12-26,@,DAL,L,93,98,98,103.3,94.9,0.36,0.326,0.451,48.6,53.3,10.5,10,,0.388,8.8,28.6,0.27,,0.457,11.4,69.8,0.128,6,24,0.25,12,16,0.75,16,56,20,5,11,13,24
2018,33,33,2017-12-27,@,OKC,L,107,124,110,127.4,97.3,0.306,0.447,0.555,39.5,66.7,9.3,6.5,,0.488,10.2,15.9,0.282,,0.58,10.6,64.3,0.264,9,25,0.36,23,33,0.697,15,52,25,9,7,12,26
2018,34,34,2017-12-29,,ATL,W,111,98,114.3,100.9,97.1,0.076,0.352,0.511,51.5,47.8,9.3,23.4,,0.5,9.2,35.8,0.057,,0.483,15.7,69.6,0.148,9,24,0.375,13,20,0.65,14,48,21,6,7,18,15
2018,35,35,2018-01-01,,MIL,W,131,127,121.9,118.2,97.3,0.363,0.363,0.621,48.2,55.6,7.4,12.1,,0.571,10.2,15.4,0.297,,0.543,11.7,77.3,0.28,13,27,0.481,26,28,0.929,10,43,27,9,3,14,23
2018,36,36,2018-01-03,@,CHI,W,124,115,120.3,111.6,103.1,0.207,0.413,0.618,53.3,51.1,8.7,8.3,,0.571,9.9,17.1,0.207,,0.532,11.4,82.4,0.172,13,33,0.394,16,19,0.842,9,43,29,5,2,13,20
